Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
2,1,1,6,2,2,1,2,1,2,1,8,6,3,48.0,3
1,1,2,3,1,2,1,2,1,9,1,1,4,3,35.0,2
2,1,1,2,1,2,1,1,1,2,1,5,4,1,4.0,3
2,1,1,6,2,2,1,2,1,2,2,1,3,3,45.0,2
2,1,1,3,1,2,1,2,3,6,1,3,6,3,48.0,2
2,1,1,5,2,2,1,2,1,2,1,1,9,3,45.0,1
2,1,2,5,2,2,1,1,1,2,1,2,11,2,23.0,1
2,1,2,2,1,1,1,1,3,6,4,2,10,2,16.0,2
2,1,1,3,2,2,1,1,1,1,1,6,11,2,24.0,3
1,1,1,3,1,2,1,2,1,9,2,5,4,2,21.0,3
3,1,1,3,1,2,2,2,1,2,1,8,2,3,39.0,4
2,1,2,5,2,2,1,1,1,1,2,6,8,3,40.0,3
4,1,1,5,1,2,1,2,1,2,2,8,8,2,29.0,4
2,1,1,6,2,2,1,1,1,1,1,1,9,3,33.0,2
2,1,1,4,2,2,1,1,1,2,1,9,7,3,41.0,3
2,1,2,5,2,2,1,2,1,2,1,2,10,2,17.0,1
2,1,1,4,2,2,1,1,4,9,1,2,10,2,20.0,1
2,1,1,3,1,2,1,1,1,1,1,8,2,3,41.0,4
2,1,2,3,2,2,1,2,1,2,1,4,8,3,33.0,2
2,1,1,6,2,2,1,2,1,2,1,1,4,3,32.0,2
1,1,2,2,5,1,2,1,5,7,4,9,8,3,44.0,2
2,1,2,4,2,2,2,1,4,9,1,6,11,2,21.0,3
3,1,1,5,4,2,1,2,1,2,1,4,4,2,27.0,2
2,1,2,4,2,2,1,2,1,1,1,2,10,3,39.0,1
2,1,2,5,2,2,1,3,1,2,1,7,4,3,42.0,4
2,1,2,6,2,2,1,2,1,2,1,1,8,1,9.0,2
1,1,1,4,3,2,1,2,1,2,1,2,11,3,36.0,1
2,1,2,6,2,2,1,2,1,2,1,7,4,3,37.0,3
5,1,2,5,2,2,1,2,1,2,1,9,5,2,17.0,4
2,1,1,5,2,2,1,3,3,7,1,8,4,3,40.0,4
1,1,2,5,3,2,1,2,1,2,1,6,11,3,44.0,4
6,1,2,2,1,2,1,1,1,2,1,9,5,2,20.0,4
5,1,1,3,1,2,1,1,1,2,2,5,3,4,59.0,3
2,1,1,3,1,2,1,1,1,2,1,4,7,3,47.0,2
2,1,2,4,2,2,1,2,1,2,1,7,4,2,17.0,4
4,1,1,5,3,2,1,3,1,2,1,5,1,3,44.0,3
1,1,1,5,1,2,1,2,1,2,1,2,6,3,36.0,1
2,1,2,5,2,2,2,2,1,2,1,9,8,1,12.0,4
3,1,2,2,1,2,1,1,1,1,1,7,4,2,16.0,4
2,1,1,4,2,2,2,2,1,2,1,8,3,4,53.0,4
3,1,1,4,1,2,1,2,1,2,1,4,8,3,40.0,2
2,1,1,6,2,2,1,2,1,2,2,8,6,2,30.0,4
2,1,1,5,2,2,1,2,1,2,1,9,6,3,39.0,4
