,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
454789,2,1,2,6,2,2,1,2,1,2,1,7,4,3,37.0,3
350531,5,1,2,5,2,2,1,2,1,2,1,9,5,2,17.0,4
492428,2,1,1,5,2,2,1,3,3,7,1,8,4,3,40.0,4
475397,1,1,2,5,3,2,1,2,1,2,1,6,11,3,44.0,4
338256,6,1,2,2,1,2,1,1,1,2,1,9,5,2,20.0,4
536534,5,1,1,3,1,2,1,1,1,2,2,5,3,4,59.0,3
473817,2,1,1,3,1,2,1,1,1,2,1,4,7,3,47.0,2
360577,2,1,2,4,2,2,1,2,1,2,1,7,4,2,17.0,4
451656,4,1,1,5,3,2,1,3,1,2,1,5,1,3,44.0,3
459633,1,1,1,5,1,2,1,2,1,2,1,2,6,3,36.0,1
326224,2,1,2,5,2,2,2,2,1,2,1,9,8,1,12.0,4
360720,3,1,2,2,1,2,1,1,1,1,1,7,4,2,16.0,4
536762,2,1,1,4,2,2,2,2,1,2,1,8,3,4,53.0,4
424985,3,1,1,4,1,2,1,2,1,2,1,4,8,3,40.0,2
348666,2,1,1,6,2,2,1,2,1,2,2,8,6,2,30.0,4
434508,2,1,1,5,2,2,1,2,1,2,1,9,6,3,39.0,4
336154,2,1,2,4,2,2,2,2,3,7,2,1,4,2,23.0,1
426517,2,1,2,5,2,2,1,4,1,2,1,1,5,3,35.0,2
441249,2,1,2,2,1,2,1,1,1,2,2,6,12,3,47.0,3
341432,2,1,2,5,2,2,1,2,1,2,1,7,4,2,30.0,4
339326,4,1,1,3,1,2,1,2,1,2,1,7,5,2,17.0,4
413267,3,1,1,2,1,2,1,1,1,2,1,8,2,3,48.0,4
427942,6,1,2,4,1,2,2,1,3,9,1,5,2,3,37.0,3
478935,2,1,1,5,2,2,1,3,1,2,1,6,10,3,45.0,3
523094,1,1,1,3,3,2,1,2,1,1,1,1,7,3,39.0,1
537358,2,1,1,3,2,2,1,1,1,2,1,1,4,4,52.0,1
568974,2,1,1,4,2,2,1,2,1,1,1,2,2,4,60.0,1
340168,2,1,2,4,2,2,1,1,1,2,1,3,10,2,29.0,2
339236,2,1,2,5,2,2,1,1,1,1,1,4,2,2,26.0,2
524306,1,1,1,5,1,2,1,1,1,1,1,3,10,3,46.0,2
545915,2,1,1,2,2,2,2,2,1,1,1,8,9,4,53.0,3
370533,2,1,1,4,2,2,2,2,5,6,1,1,5,2,16.0,2
312444,2,1,2,5,2,2,1,2,1,2,1,4,8,1,6.0,2
313298,2,1,1,7,2,2,1,3,1,2,1,1,2,1,5.0,1
469014,1,1,1,3,1,2,1,1,1,1,2,5,3,3,47.0,3
451120,3,1,2,3,1,2,1,1,1,1,1,6,11,3,46.0,2
518994,1,1,1,3,2,2,1,1,3,9,1,2,3,3,38.0,1
374853,3,1,1,2,1,2,1,1,1,2,2,2,12,2,25.0,1
356786,2,1,2,3,2,2,1,1,1,2,1,6,11,2,17.0,4
563092,1,1,1,3,1,2,1,2,1,1,1,2,8,4,60.0,1
531913,3,1,1,3,1,2,1,1,1,1,1,2,2,3,32.0,1
492894,2,1,1,6,2,2,1,1,1,2,2,3,2,3,35.0,2
332954,2,1,2,5,2,2,1,2,1,2,1,4,7,2,18.0,2
494999,2,1,1,5,2,2,1,2,1,9,1,5,2,3,42.0,3
375726,5,1,2,3,1,2,2,2,1,2,2,6,11,2,26.0,4
366460,5,1,2,3,2,2,1,1,3,6,1,6,11,2,17.0,3
520613,3,1,2,3,1,2,1,1,4,2,1,4,9,3,44.0,2
322748,5,1,2,2,1,1,1,2,1,2,4,9,5,1,10.0,2
433922,2,1,2,3,2,2,1,1,1,1,1,2,4,3,48.0,1
412791,2,1,1,2,1,1,1,2,1,2,4,9,2,3,35.0,2
519135,2,1,2,3,1,2,1,1,1,2,1,2,10,3,45.0,1
372278,1,1,1,3,1,2,1,2,4,2,1,7,5,2,20.0,4
376187,2,1,1,3,2,2,2,2,3,6,2,8,6,2,28.0,4
529127,3,1,2,4,1,2,1,1,2,2,1,2,8,3,32.0,2
485175,2,1,1,5,2,2,1,1,1,1,1,5,2,3,43.0,3
345841,2,1,2,6,2,2,1,2,1,2,1,7,4,2,30.0,4
557344,2,1,1,5,2,2,2,2,1,2,1,7,4,4,58.0,2
428928,2,1,2,3,2,2,1,2,1,9,1,1,10,3,44.0,1
350562,2,1,2,4,2,2,1,2,1,1,2,9,8,2,24.0,4
436479,3,1,1,3,1,2,1,1,1,2,1,3,8,3,41.0,2
567874,2,1,1,6,2,2,1,2,1,2,2,8,10,4,50.0,3
347077,3,1,2,7,4,2,1,1,1,2,1,9,4,2,25.0,4
360646,6,1,2,2,1,2,1,1,3,6,1,6,10,2,18.0,3
477568,2,1,1,6,2,2,1,4,1,2,1,5,2,3,48.0,3
470606,2,1,2,5,2,2,1,2,1,1,1,3,4,3,42.0,2
558807,1,1,1,4,3,2,1,2,1,1,2,8,6,4,51.0,4
369879,3,1,2,4,1,2,1,1,1,2,1,4,11,2,23.0,2
537961,1,1,1,4,1,2,1,2,1,1,1,9,3,4,60.0,4
514739,3,1,2,3,1,2,2,1,1,1,1,2,5,3,45.0,1
366514,2,1,2,4,2,2,1,1,1,2,1,4,10,2,30.0,2
457455,5,1,1,3,1,2,1,2,1,2,1,9,2,3,35.0,4
440107,2,1,1,6,2,2,1,1,1,2,2,3,7,3,44.0,2
347249,3,1,2,4,1,2,1,2,1,1,2,8,10,2,17.0,4
456487,2,1,1,3,1,2,1,2,1,2,1,5,8,3,43.0,3
384362,3,1,1,3,1,2,1,1,1,1,1,9,4,3,43.0,4
550584,2,1,1,5,2,2,1,3,1,2,2,2,8,4,51.0,1
436091,2,1,1,5,2,2,1,1,1,2,2,2,8,3,43.0,1
451298,1,1,2,5,4,2,1,2,1,2,1,4,9,3,46.0,2
370379,2,1,2,2,1,2,1,1,1,2,1,6,10,2,23.0,3
566242,3,1,1,3,1,2,2,1,1,2,1,1,5,4,60.0,1
372302,5,1,2,3,1,2,2,2,4,2,1,9,11,2,20.0,4
516326,6,1,1,3,1,2,2,1,1,1,1,2,3,3,42.0,1
567697,2,1,1,6,2,2,1,1,1,2,2,5,1,4,49.0,3
338928,2,1,2,2,1,2,1,1,1,1,1,3,11,2,23.0,2
